ensemble,forecast_datetime_UTC,air_pressure,TSOIL,SOILW,WEASD,SNOD,ICETK,air_temperature,relative_humidity,TMAX,TMIN,eastward_wind,northward_wind,precipitation_flux,CSNOW,CICEP,CFRZR,CRAIN,LHTFL,SHTFL,PWAT,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,USWRF,ULWRF,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
10,2022-06-27T09:00:00Z,99692.078125,304.4650573730469,0.0650000050663948,0,0,0,24.977929687500023,61,28.091699218750023,24.9611755371094,1.7723388671875,2.5805296897888184,0,0,0,0,0,1.5350494384765625,-35.067237854003906,35.20000076293945,18,0,391,0,447.852294921875,225,2022-06-18T00:00:00Z,3.130546045025539,55.518251568338684
10,2022-06-27T12:00:00Z,99784.2421875,303.6325378417969,0.0650000050663948,0,0,0,24.6713806152344,68.2464599609375,28.133447265625023,24.1713806152344,2.2963757514953613,0.8580395579338074,0,0,0,0,0,0.7105255126953125,-29.787939071655273,36.900001525878906,42,2,390,0,441.3553466796875,228,2022-06-18T00:00:00Z,2.4514431413016964,20.48817486941832
10,2022-06-27T15:00:00Z,99860.6796875,303.6650695800781,0.06400000303983688,0,0,0,32.03972778320315,43.543888092041016,31.987115478515648,25.039727783203148,2.4039905071258545,-0.6304467916488647,0,0,0,0,0,41.712188720703125,105.78301239013672,38.60000228881836,100,290,410,48,481.4261474609375,231,2022-06-18T00:00:00Z,2.485283387352752,-14.694908784518496
10,2022-06-27T18:00:00Z,99723.8125,304.8650817871094,0.06300000101327896,0,0,0,38.58822021484377,26.179960250854492,38.56316528320315,25.0856872558594,-3.1487865447998047,0.5948681235313416,0,0,0,0,0,75.65582275390625,262.2602233886719,40.29999923706055,62,562,429,78,536.4261474609375,234,2022-06-18T00:00:00Z,3.2044851051465337,169.30177922427336
10,2022-06-27T21:00:00Z,99557.1875,305.4650573730469,0.06200000271201134,0,0,0,38.6612487792969,24.120054244995117,38.87972412109377,37.26052246093752,-3.375803232192993,0.9755956530570984,0,0,0,0,0,58.3311767578125,200.1833343505859,39,100,400,484,57,563,237,2022-06-18T00:00:00Z,3.5139485398549257,163.8808859619634
10,2022-06-28T00:00:00Z,99499.1015625,305.7325134277344,0.06200000271201134,0,0,0,34.45220336914065,30.98221206665039,39.50957641601565,34.45220336914065,-5.150568962097168,1.5896215438842771,0,0,0,0,0,45.0677490234375,144.166015625,42.20000076293945,100,311,477,44,551,240,2022-06-18T00:00:00Z,5.390292875725746,162.8481900426205
11,2022-06-18T03:00:00Z,99870.0859375,304.0119934082031,0.06300000101327896,0,0,0,25.194726562500023,75.9001693725586,30.284753417968773,25.158380126953148,-3.147111654281616,1.8941112756729128,0.550000011920929,0,0,0,1,57.43708801269531,-41.8543586730957,49.5,30,40,415,8,452.7317810058594,3,2022-06-18T00:00:00Z,3.673141610276745,148.9580722485489
11,2022-06-18T06:00:00Z,99908.1171875,303.31201171875,0.06300000101327896,0,0,0,25.191979980468773,77.86058807373047,30.2819763183594,24.768395996093773,-1.4706151485443115,3.553784132003784,0.6000000238418579,0,0,0,1,38.1695556640625,-38.89421463012695,47.70000076293945,17,19,409,4,446,6,2022-06-18T00:00:00Z,3.8460486960008575,112.48058770863757
11,2022-06-18T09:00:00Z,99903.2109375,302.6920166015625,0.06300000101327896,0,0,0,25.1926208496094,81.22704315185547,25.550012207031273,25.077264404296898,2.407224178314209,3.888498544692993,0,0,0,0,0,18.0250244140625,-43.5682373046875,46.29999923706055,0,0,402,0,441.08935546875,9,2022-06-18T00:00:00Z,4.573308340440216,58.239897682665685
11,2022-06-18T12:00:00Z,100081.9609375,302.0920104980469,0.06599999964237213,0,0,0,23.744409179687523,90.70000457763672,25.550012207031273,23.418481445312523,0.674328625202179,1.541059494018555,1.3000000715255735,0,0,0,1,12.97222900390625,-33.77096176147461,48.900001525878906,0,2,399,0,438,12,2022-06-18T00:00:00Z,1.6821365755704218,66.36703062090882
