reference_datetime,site_id,datetime,family,variable,observation,crps,logs,mean,median,sd,quantile97.5,quantile02.5,quantile90,quantile10,horizon
2022-07-23T00:00:00Z,8.5,2022-07-29T10:00:00Z,sample,oxygen,1.075,0.8272547752804393,2.2116933234305316,2.1708999536970093,2.2075875178932183,0.5209929654026311,3.367296974603173,0.9572148666666668,3.331887114718614,1.2176284126984132,554400
2022-07-23T00:00:00Z,8.5,2022-07-29T12:00:00Z,sample,oxygen,0.7879999999999995,0.8479951075012341,3.0640749770768516,1.8133710944637271,1.8891460441558443,0.3234096004550558,2.349637244716068,0.920163681673882,2.3414490666666663,1.1057731180205417,561600
2022-07-23T00:00:00Z,8.5,2022-07-29T14:00:00Z,sample,oxygen,0.743,0.5708943125246402,2.0723484796135834,1.4796104881137624,1.5203841999999994,0.29776408268647675,2.0565464587301596,0.8438882285714284,1.9920517253968264,0.8529361523809526,568800
2022-07-23T00:00:00Z,8.5,2022-07-29T16:00:00Z,sample,oxygen,1.246,0.06631983228521826,-0.3831996306565608,1.3556824236237932,1.270433733333333,0.4051758562536407,3.078317719047619,0.8074740142857137,1.941185399999999,0.8454802142857144,576000
2022-07-23T00:00:00Z,8.5,2022-07-29T18:00:00Z,sample,oxygen,0.8250000000000006,0.510417120882366,2.061130876399595,1.5469730361892586,1.487011213997114,0.4099652967124099,2.891207133333333,0.7844731383838381,2.351978961904762,1.0610365079365078,583200
2022-07-23T00:00:00Z,8.5,2022-07-29T20:00:00Z,sample,oxygen,2.022,0.44274187025558537,0.7354527697099009,1.395593320946437,1.3064938507936517,0.44784056933377925,2.6297702428571426,0.7988002383838382,2.2474040126984125,0.8733533650793649,590400
2022-07-23T00:00:00Z,8.5,2022-07-29T22:00:00Z,sample,oxygen,0.101,0.9866526032382115,13.12511911920722,1.3699569835186316,1.3194427809523808,0.5547679765578349,3.432251436507935,0.8135026142857142,2.1000545952380945,0.8314969047619047,597600
2022-07-23T00:00:00Z,8.5,2022-07-30T00:00:00Z,sample,oxygen,0.8140000000000006,0.5051361989276528,0.9091307650226866,1.6927727781515975,1.541399076190477,0.670606194180459,3.225009423376623,0.932714311111111,2.807697499567099,0.9626197349206348,604800
2022-07-23T00:00:00Z,8.5,2022-07-30T02:00:00Z,sample,oxygen,0.2930000000000003,0.984656463431648,4.4154577127636445,1.678679042420472,1.448425990476191,0.710832247485641,3.1458437757575735,0.7451483238095237,3.083887355555554,0.7631783809523808,612000
2022-07-23T00:00:00Z,8.5,2022-07-30T04:00:00Z,sample,oxygen,0.325,1.1677614397209608,2.9380442391908024,2.0545502223435848,1.6779070559884564,0.9997350495491013,3.6609682020202015,0.7745901809523806,3.4082354757575732,0.7844212238095236,619200
2022-07-23T00:00:00Z,8.5,2022-07-30T06:00:00Z,sample,oxygen,2.161,0.35462350531783254,2.4318451588757264,2.20212925532454,1.9093821746031736,0.9262530682613447,3.705198258297256,0.8327292763347763,3.383925378687977,0.9798067095238095,626400
2022-07-23T00:00:00Z,8.5,2022-07-30T08:00:00Z,sample,oxygen,4.701000000000001,1.9696330136296276,20.50378488717461,2.299024337116057,2.250203023809523,0.7598166497463673,3.4861588868686866,0.9200630841269842,3.308380774603174,1.0080177428571429,633600
2022-07-23T00:00:00Z,8.5,2022-07-30T10:00:00Z,sample,oxygen,4.1119999999999965,1.7382942164888133,12.987846291751413,2.0990680017143934,2.1186564995115993,0.5152226455527179,3.6075738603174594,1.1411558190476188,3.2197325571428568,1.251465293939394,640800
2022-07-23T00:00:00Z,8.5,2022-07-30T12:00:00Z,sample,oxygen,4.639,2.555898359842884,103.23437489028434,1.8336201373719259,1.7608235274170263,0.4444750036282113,2.943488919047619,0.9707867235209238,2.590978915873016,1.2052618568542572,648000
2022-07-23T00:00:00Z,8.5,2022-07-30T14:00:00Z,sample,oxygen,4.648,2.9124877225669725,152.4863117503071,1.4820391809321185,1.5305270142857144,0.4481827684334931,2.5628350761904755,0.7305965619047619,2.286168957142857,0.7598076619047615,655200
2022-07-23T00:00:00Z,8.5,2022-07-30T16:00:00Z,sample,oxygen,6.6199999999999966,4.9583185182290705,485.77888270156905,1.4020446281735761,1.3212563936507935,0.48895916122787064,3.0498648730158724,0.6342987047619044,2.2157698173160174,0.6874310238095235,662400
2022-07-23T00:00:00Z,8.5,2022-07-30T18:00:00Z,sample,oxygen,6.939000000000013,5.2619298762855395,Inf,1.4727449788902855,1.5179165698412698,0.3703629334860129,2.210429258730159,0.7514684507936504,2.208123676190477,0.8097793650793649,669600
2022-07-23T00:00:00Z,8.5,2022-07-30T20:00:00Z,sample,oxygen,5.676,4.19216583919563,Inf,1.3034636970456068,1.3328095793650798,0.3251243343366036,2.110068815873015,0.7171481333333335,2.0175985666666656,0.8729231555555554,676800
2022-07-23T00:00:00Z,8.5,2022-07-30T22:00:00Z,sample,oxygen,3.863,2.33030625909929,111.52252191419781,1.29031300467024,1.335566023809524,0.42821316586099045,2.1635360809523796,0.5399092190476191,2.0617121492063495,0.7175332376623376,684000
2022-07-23T00:00:00Z,8.5,2022-07-31T00:00:00Z,sample,oxygen,0.906,0.36534448549436466,0.24338129047002324,1.6012253253563642,1.7326572412698418,0.6129202960328756,2.702971882539682,0.8202738079365076,2.649770114285714,0.842284596825397,691200
2022-07-23T00:00:00Z,8.5,2022-07-31T02:00:00Z,sample,oxygen,1.539,0.18612651211331221,0.4893168126498483,1.6967517754884793,1.5717574290043297,0.7179611479299668,2.9382877,0.6679166333333334,2.9377540329004317,0.6934736619047617,698400
2022-07-23T00:00:00Z,8.5,2022-07-31T04:00:00Z,sample,oxygen,2.073,0.233517819669248,0.9584979012983941,2.1254761064086236,1.9616090857142856,0.8219378639375859,3.5170971868686856,0.8221523666666667,3.3923534984126973,0.9972738952380952,705600
2022-07-23T00:00:00Z,8.5,2022-07-31T08:00:00Z,sample,oxygen,3.4959999999999987,0.9420858726498258,2.1289672873523555,2.1834012198765387,2.125740174603174,0.6500926343579403,3.3798434705627702,0.9157168920634914,3.254525824963926,1.2187126632034626,720000
